sampleID	dip_depth	ref_genome	settings
LP0026_26_L004	-1.39	0memhg19decoy	True40
LP0025_15_L003	1.04	0memhg19decoy	True40
LP0029_06_L003	-0.01	0memhg19decoy	True40
LP0025_24_L003	0.06	0memhg19decoy	True40
LP0025_04_L004	0.32	0memhg19decoy	True40
LP0026_07_L003	0.51	0memhg19decoy	True40
LP0029_05_L004	-0.37	0memhg19decoy	True40
LP0020_01	2.3	0memhg19decoy	True40
LP0025_08_L004	0.35	0memhg19decoy	True40
LP0020_04	0.63	0memhg19decoy	True40
LP0028_01_L004	0.23	0memhg19decoy	True40
LP0025_11_L003	0.68	0memhg19decoy	TrueDI26830XA
LP0025_06_L003	0.05	0memhg19decoy	TrueDI26830XA
LP0030_05_L004	0.51	0memhg19decoy	TrueDI26830XA
LP0030_03_L004	-1.7	0memhg19decoy	TrueDI26830XA
LP0020_03	0.31	0memhg19decoy	TrueDI26830XA
LP0020_06	0.44	0memhg19decoy	TrueDI26830XA
LP0025_07_L004	-0.18	0memhg19decoy	TrueDI26830XA
LP0025_12_L003	0.37	0memhg19decoy	TrueDI26830XA
LP0025_17_L003	0.61	0memhg19decoy	TrueDI26830XA
LP0026_22_L003	-1.42	0memhg19decoy	TrueDI26830XA
LP0025_05_L003	-1.44	0memhg19decoy	TrueDI26830XA
LP0027_39_L003	0.14	0memhg19decoy	TrueDI26830XA
LP0025_03_L003	-0.45	0memhg19decoy	TrueDI26830XA
LP0020_07	-1.01	0memhg19decoy	TrueDI26830XA
LP0026_05_L003	0.4	0memhg19decoy	TrueDI26830XA
LP0025_01_L004	0.03	0memhg19decoy	TrueDI26830XA
LP0025_21_L004	-0.27	0memhg19decoy	TrueDI26830XA
LP0027_26_L003	-1.34	0memhg19decoy	TrueDI26830XA
LP0020_08	0.23	0memhg19decoy	TrueDI26830XA
LP0027_35_L003	-0.96	0memhg19decoy	TrueDI26830XA
LP0026_42_L004	-1.26	0memhg19decoy	TrueDI26830XA
