sampleID	tMAD_vs_control	ref_genome	settings
LP0026_38_L004	0.0876406692032518	0memhg19decoy	True40
LP0026_42_L004	0.112370363031526	0memhg19decoy	True40
LP0027_26_L003	0.069496875	0memhg19decoy	True40
LP0027_35_L003	0.0529956295643158	0memhg19decoy	True40
LP0027_39_L003	0.0512305274274944	0memhg19decoy	True40
LP0028_01_L004	0.17500771130967	0memhg19decoy	True40
LP0020_01	0.01200630081896	0memhg19decoy	TrueDI26830XA
LP0020_02	0.0239857606823803	0memhg19decoy	TrueDI26830XA
LP0020_03	0.0193301482151597	0memhg19decoy	TrueDI26830XA
LP0020_04	0.0444343406937019	0memhg19decoy	TrueDI26830XA
LP0020_05	0.016701326523288	0memhg19decoy	TrueDI26830XA
LP0020_06	0.0263916839275841	0memhg19decoy	TrueDI26830XA
LP0020_07	0.00644337845511503	0memhg19decoy	TrueDI26830XA
LP0020_08	0.0252910314708386	0memhg19decoy	TrueDI26830XA
LP0025_01_L004	0.00194976824354888	0memhg19decoy	TrueDI26830XA
LP0025_02_L004	0.0136070816024387	0memhg19decoy	TrueDI26830XA
LP0025_03_L003	0.00334822505078681	0memhg19decoy	TrueDI26830XA
LP0025_04_L004	0.00574043157501386	0memhg19decoy	TrueDI26830XA
LP0025_07_L004	0.00912010326387554	0memhg19decoy	TrueDI26830XA
LP0025_08_L004	0.0033522252152206	0memhg19decoy	TrueDI26830XA
LP0029_02_L004	0.00364017613700113	0memhg19decoy	TrueDI26830XA
LP0029_04_L003	0.00433946123811359	0memhg19decoy	TrueDI26830XA
LP0029_05_L004	0.00463312499999998	0memhg19decoy	TrueDI26830XA
LP0029_06_L003	0.00403850257573663	0memhg19decoy	TrueDI26830XA
LP0030_03_L004	0.00364120340661261	0memhg19decoy	TrueDI26830XA
LP0030_05_L004	0.00404397241162495	0memhg19decoy	TrueDI26830XA
LP0025_05_L003	0.00533138327874691	0memhg19decoy	TrueDI26830XA
LP0025_06_L003	0.00433763617351135	0memhg19decoy	TrueDI26830XA
LP0025_10_L003	0.0338765546475147	0memhg19decoy	TrueDI26830XA
LP0025_11_L003	0.00965243645736787	0memhg19decoy	TrueDI26830XA
LP0025_12_L003	0.0215890041131923	0memhg19decoy	TrueDI26830XA
LP0025_15_L003	0.069613932476304	0memhg19decoy	TrueDI26830XA
LP0025_17_L003	0.0186245662057808	0memhg19decoy	TrueDI26830XA
LP0025_21_L004	0.161814218014895	0memhg19decoy	TrueDI26830XA
LP0025_24_L003	0.010810625	0memhg19decoy	TrueDI26830XA
LP0026_05_L003	0.023165625	0memhg19decoy	TrueDI26830XA
LP0026_07_L003	0.0043385484077943	0memhg19decoy	TrueDI26830XA
LP0026_08_L003	0.318850190288316	0memhg19decoy	TrueDI26830XA
LP0026_22_L003	0.0177608772766008	0memhg19decoy	TrueDI26830XA
LP0026_26_L004	0.0758947223609152	0memhg19decoy	TrueDI26830XA
LP0026_38_L004	0.0926391588467313	0memhg19decoy	TrueDI26830XA
LP0026_42_L004	0.109145100808576	0memhg19decoy	TrueDI26830XA
LP0027_26_L003	0.069496875	0memhg19decoy	TrueDI26830XA
LP0027_35_L003	0.0619933518839254	0memhg19decoy	TrueDI26830XA
LP0027_39_L003	0.0458751275148985	0memhg19decoy	TrueDI26830XA
