sample	tumor_fraction
	sample_id
LP0027_26_L003	0.1117	0memhg19decoy-True40
LP0027_35_L003	0.1674	0memhg19decoy-True40
LP0027_39_L003	0.138	0memhg19decoy-True40
LP0028_01_L004	0.1031	0memhg19decoy-True40
LP0029_02_L004	0.01157	0memhg19decoy-True40
LP0029_04_L003	0.01253	0memhg19decoy-True40
LP0029_05_L004	0.008131	0memhg19decoy-True40
LP0029_06_L003	0.006927	0memhg19decoy-True40
LP0030_03_L004	0.007579	0memhg19decoy-True40
LP0030_05_L004	0.009249	0memhg19decoy-True40
LP0020_01	0.008749	0memhg19decoy-TrueDI26830XA
LP0020_02	0.01526	0memhg19decoy-TrueDI26830XA
LP0020_03	0.01122	0memhg19decoy-TrueDI26830XA
LP0020_04	0	0memhg19decoy-TrueDI26830XA
LP0020_05	0.01252	0memhg19decoy-TrueDI26830XA
LP0020_06	0.01539	0memhg19decoy-TrueDI26830XA
LP0020_07	0.007982	0memhg19decoy-TrueDI26830XA
LP0020_08	0.01604	0memhg19decoy-TrueDI26830XA
LP0025_01_L004	0.003766	0memhg19decoy-TrueDI26830XA
LP0025_02_L004	0.01693	0memhg19decoy-TrueDI26830XA
LP0025_03_L003	0.007085	0memhg19decoy-TrueDI26830XA
LP0025_04_L004	0.005678	0memhg19decoy-TrueDI26830XA
LP0025_05_L003	0.007729	0memhg19decoy-TrueDI26830XA
LP0025_06_L003	0.00631	0memhg19decoy-TrueDI26830XA
LP0025_07_L004	0.01182	0memhg19decoy-TrueDI26830XA
LP0025_08_L004	0	0memhg19decoy-TrueDI26830XA
LP0025_10_L003	0.008556	0memhg19decoy-TrueDI26830XA
LP0025_11_L003	0.01417	0memhg19decoy-TrueDI26830XA
LP0025_12_L003	0.01731	0memhg19decoy-TrueDI26830XA
LP0025_15_L003	0.07617	0memhg19decoy-TrueDI26830XA
LP0025_17_L003	0.03144	0memhg19decoy-TrueDI26830XA
LP0025_21_L004	0.1367	0memhg19decoy-TrueDI26830XA
LP0025_24_L003	0.004462	0memhg19decoy-TrueDI26830XA
LP0026_05_L003	0.02227	0memhg19decoy-TrueDI26830XA
LP0026_07_L003	0.01757	0memhg19decoy-TrueDI26830XA
LP0026_08_L003	0.271	0memhg19decoy-TrueDI26830XA
LP0026_22_L003	0.2263	0memhg19decoy-TrueDI26830XA
LP0026_26_L004	0.4419	0memhg19decoy-TrueDI26830XA
LP0026_38_L004	0.1572	0memhg19decoy-TrueDI26830XA
LP0026_42_L004	0.132	0memhg19decoy-TrueDI26830XA
LP0027_26_L003	0.1172	0memhg19decoy-TrueDI26830XA
LP0027_35_L003	0.1679	0memhg19decoy-TrueDI26830XA
LP0027_39_L003	0.137	0memhg19decoy-TrueDI26830XA
LP0028_01_L004	0.1046	0memhg19decoy-TrueDI26830XA
LP0029_02_L004	0.01078	0memhg19decoy-TrueDI26830XA
LP0029_04_L003	0.01602	0memhg19decoy-TrueDI26830XA
LP0029_05_L004	0	0memhg19decoy-TrueDI26830XA
LP0029_06_L003	0.006945	0memhg19decoy-TrueDI26830XA
LP0030_03_L004	0.008023	0memhg19decoy-TrueDI26830XA
LP0030_05_L004	0.00883	0memhg19decoy-TrueDI26830XA
LP0020_01	0.009887	0memhg38-False40
LP0020_02	0.01223	0memhg38-False40
LP0020_03	0.01201	0memhg38-False40
LP0020_04	0.01203	0memhg38-False40
LP0020_05	0.01215	0memhg38-False40
LP0020_06	0.01547	0memhg38-False40
LP0020_07	0.01289	0memhg38-False40
LP0020_08	0.01135	0memhg38-False40
LP0025_01_L004	0.004294	0memhg38-False40
LP0025_02_L004	0.01292	0memhg38-False40
LP0025_03_L003	0.005587	0memhg38-False40
LP0025_04_L004	0.003663	0memhg38-False40
LP0025_05_L003	0	0memhg38-False40
LP0025_06_L003	0.004237	0memhg38-False40
LP0025_07_L004	0.01345	0memhg38-False40
LP0025_08_L004	0.004668	0memhg38-False40
LP0025_10_L003	0.8394	0memhg38-False40
LP0025_11_L003	0.01241	0memhg38-False40
LP0025_12_L003	0.01371	0memhg38-False40
LP0025_15_L003	0.07282	0memhg38-False40
LP0025_17_L003	0.02969	0memhg38-False40
LP0025_21_L004	0.1117	0memhg38-False40
LP0025_24_L003	0.01264	0memhg38-False40
LP0026_05_L003	0.02233	0memhg38-False40
LP0026_07_L003	0.03381	0memhg38-False40
LP0026_08_L003	0.2472	0memhg38-False40
LP0026_22_L003	0.2246	0memhg38-False40
LP0026_26_L004	0.4392	0memhg38-False40
LP0026_38_L004	0.1561	0memhg38-False40
LP0026_42_L004	0.1325	0memhg38-False40
LP0027_26_L003	0.1189	0memhg38-False40
LP0027_35_L003	0.1678	0memhg38-False40
LP0027_39_L003	0.1376	0memhg38-False40
LP0028_01_L004	0.1022	0memhg38-False40
LP0029_02_L004	0.007633	0memhg38-False40
LP0029_04_L003	0.01038	0memhg38-False40
LP0029_05_L004	0.00678	0memhg38-False40
LP0029_06_L003	0.006113	0memhg38-False40
LP0030_03_L004	0.008344	0memhg38-False40
LP0030_05_L004	0.006807	0memhg38-False40
LP0020_01	0.0101	0memhg38-FalseDI26830XA
LP0020_02	0.0104	0memhg38-FalseDI26830XA
LP0020_03	0.009175	0memhg38-FalseDI26830XA
LP0020_04	0	0memhg38-FalseDI26830XA
LP0020_05	0.01009	0memhg38-FalseDI26830XA
LP0020_06	0.01612	0memhg38-FalseDI26830XA
LP0020_07	0.01304	0memhg38-FalseDI26830XA
LP0020_08	0.01147	0memhg38-FalseDI26830XA
LP0025_01_L004	0.004329	0memhg38-FalseDI26830XA
LP0025_02_L004	0.01317	0memhg38-FalseDI26830XA
LP0025_03_L003	0.004492	0memhg38-FalseDI26830XA
LP0025_04_L004	0	0memhg38-FalseDI26830XA
LP0025_05_L003	0	0memhg38-FalseDI26830XA
LP0025_06_L003	0.004115	0memhg38-FalseDI26830XA
LP0025_07_L004	0.01309	0memhg38-FalseDI26830XA
LP0025_08_L004	0.003705	0memhg38-FalseDI26830XA
LP0025_10_L003	0.841	0memhg38-FalseDI26830XA
LP0025_11_L003	0.01166	0memhg38-FalseDI26830XA
