sample	tumor_fraction
	sample_id
LP0025_06_L003	0.0119	0memhg19decoy-TrueDI26830XA
LP0025_07_L004	0.01385	0memhg19decoy-TrueDI26830XA
LP0025_08_L004	0.003142	0memhg19decoy-TrueDI26830XA
LP0025_10_L003	0.005994	0memhg19decoy-TrueDI26830XA
LP0025_11_L003	0.02066	0memhg19decoy-TrueDI26830XA
LP0025_12_L003	0.03441	0memhg19decoy-TrueDI26830XA
LP0025_15_L003	0.13	0memhg19decoy-TrueDI26830XA
LP0025_17_L003	0.06711	0memhg19decoy-TrueDI26830XA
LP0025_21_L004	0.2257	0memhg19decoy-TrueDI26830XA
LP0025_24_L003	0.006477	0memhg19decoy-TrueDI26830XA
LP0026_05_L003	0.02572	0memhg19decoy-TrueDI26830XA
LP0026_07_L003	0.02562	0memhg19decoy-TrueDI26830XA
LP0026_08_L003	0.3438	0memhg19decoy-TrueDI26830XA
LP0026_22_L003	0.4433	0memhg19decoy-TrueDI26830XA
LP0026_26_L004	0.6455	0memhg19decoy-TrueDI26830XA
LP0026_38_L004	0.2531	0memhg19decoy-TrueDI26830XA
LP0026_42_L004	0.1202	0memhg19decoy-TrueDI26830XA
LP0027_26_L003	0.1235	0memhg19decoy-TrueDI26830XA
LP0027_35_L003	0.239	0memhg19decoy-TrueDI26830XA
LP0027_39_L003	0.1605	0memhg19decoy-TrueDI26830XA
LP0028_01_L004	0.2716	0memhg19decoy-TrueDI26830XA
LP0029_02_L004	0.009811	0memhg19decoy-TrueDI26830XA
LP0029_04_L003	0.01682	0memhg19decoy-TrueDI26830XA
LP0029_05_L004	0.01033	0memhg19decoy-TrueDI26830XA
LP0029_06_L003	0	0memhg19decoy-TrueDI26830XA
LP0030_03_L004	0.005887	0memhg19decoy-TrueDI26830XA
LP0030_05_L004	0.008159	0memhg19decoy-TrueDI26830XA
LP0020_01	0.01823	0memhg38-False40
LP0020_02	0.02792	0memhg38-False40
LP0020_03	0.03461	0memhg38-False40
LP0020_04	0.03247	0memhg38-False40
LP0020_05	0	0memhg38-False40
LP0020_06	0.02221	0memhg38-False40
LP0020_07	0.01845	0memhg38-False40
LP0020_08	0	0memhg38-False40
LP0025_01_L004	0.005373	0memhg38-False40
LP0025_02_L004	0.01194	0memhg38-False40
LP0025_03_L003	0.005151	0memhg38-False40
LP0025_04_L004	0.00519	0memhg38-False40
LP0025_05_L003	0.01719	0memhg38-False40
LP0025_06_L003	0.0144	0memhg38-False40
LP0025_07_L004	0.01172	0memhg38-False40
LP0025_08_L004	0	0memhg38-False40
LP0025_10_L003	0.8935	0memhg38-False40
LP0025_11_L003	0.01787	0memhg38-False40
LP0025_12_L003	0.02996	0memhg38-False40
LP0025_15_L003	0.1412	0memhg38-False40
LP0025_17_L003	0.06629	0memhg38-False40
LP0025_21_L004	0.1888	0memhg38-False40
