settings_verbose,genome,trimming,gc_bias,rule,s,csum,groups,coloring
Strict,hg38,Untrimmed,GC bias corrected,bwaMem,36261.9610875,40041.4756325,Strict_hg38_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38,Untrimmed,GC bias corrected,filterBams,992.8814475,41034.35708,Strict_hg38_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38,Untrimmed,GC bias corrected,CorrectGCBias,5582.502675,46616.859755,Strict_hg38_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38,Untrimmed,GC bias not corrected,trim,3779.514545,3779.514545,Strict_hg38_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38,Untrimmed,GC bias not corrected,bwaMem,36261.9610875,40041.4756325,Strict_hg38_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38,Untrimmed,GC bias not corrected,filterBams,1643.03748,41684.5131125,Strict_hg38_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38,Untrimmed,GC bias not corrected,sortByCoord,841.484645,42525.9977575,Strict_hg38_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38noalt,Trimmed,GC bias corrected,trim,909.8817290322581,909.8817290322581,Strict_hg38noalt_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38noalt,Trimmed,GC bias corrected,bwaMem,31367.07518,32276.95690903226,Strict_hg38noalt_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38noalt,Trimmed,GC bias corrected,filterBams,1004.13152,33281.08842903226,Strict_hg38noalt_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38noalt,Trimmed,GC bias corrected,CorrectGCBias,5714.87191,38995.96033903226,Strict_hg38noalt_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38noalt,Trimmed,GC bias corrected,sortByCoord,820.6720574999999,39816.63239653226,Strict_hg38noalt_Trimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38noalt,Trimmed,GC bias not corrected,trim,909.8817290322581,909.8817290322581,Strict_hg38noalt_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38noalt,Trimmed,GC bias not corrected,bwaMem,31367.07518,32276.95690903226,Strict_hg38noalt_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38noalt,Trimmed,GC bias not corrected,filterBams,1114.1748525,33391.131761532255,Strict_hg38noalt_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38noalt,Trimmed,GC bias not corrected,sortByCoord,783.3592525,34174.49101403226,Strict_hg38noalt_Trimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38noalt,Untrimmed,GC bias corrected,trim,953.9491264705882,953.9491264705882,Strict_hg38noalt_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38noalt,Untrimmed,GC bias corrected,bwaMem,33193.4461025,34147.395228970585,Strict_hg38noalt_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38noalt,Untrimmed,GC bias corrected,filterBams,2025.80424,36173.19946897059,Strict_hg38noalt_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38noalt,Untrimmed,GC bias corrected,CorrectGCBias,9188.782245,45361.981713970585,Strict_hg38noalt_Untrimmed_GC bias corrected,Strict_GC bias corrected
Strict,hg38noalt,Untrimmed,GC bias not corrected,trim,953.9491264705882,953.9491264705882,Strict_hg38noalt_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38noalt,Untrimmed,GC bias not corrected,bwaMem,33193.4461025,34147.395228970585,Strict_hg38noalt_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38noalt,Untrimmed,GC bias not corrected,filterBams,2006.4608225,36153.85605147059,Strict_hg38noalt_Untrimmed_GC bias not corrected,Strict_GC bias not corrected
Strict,hg38noalt,Untrimmed,GC bias not corrected,sortByCoord,821.4672521,36975.32330257059,Strict_hg38noalt_Trimmed_GC bias not corrected,Strict_GC bias not corrected
