sampleID	FrEIA_score	ref_genome	settings
LP0025_03_L003	3.5484105103236248	0memhg19decoy	False40
LP0025_04_L004	1.4885617571006868	0memhg19decoy	False40
LP0025_05_L003	2.909513744615077	0memhg19decoy	False40
LP0025_06_L003	8.820345767216942	0memhg19decoy	False40
LP0025_07_L004	5.6180731531499	0memhg19decoy	False40
LP0025_08_L004	1.4717587051812215	0memhg19decoy	False40
LP0025_10_L003	5.104933729371295	0memhg19decoy	False40
LP0025_11_L003	12.080215738436907	0memhg19decoy	False40
LP0025_12_L003	7.002201999487288	0memhg19decoy	False40
LP0025_15_L003	8.550002343725575	0memhg19decoy	False40
LP0025_17_L003	6.705339006154619	0memhg19decoy	False40
LP0025_21_L004	8.568330768983671	0memhg19decoy	False40
LP0025_24_L003	4.662790413550246	0memhg19decoy	False40
LP0026_05_L003	6.363013768408259	0memhg19decoy	False40
LP0026_07_L003	4.092623473936886	0memhg19decoy	False40
LP0026_08_L003	4.9017248271615195	0memhg19decoy	False40
LP0026_22_L003	5.0070049720315035	0memhg19decoy	False40
LP0026_26_L004	5.176143486787285	0memhg19decoy	False40
LP0026_38_L004	6.767790269785761	0memhg19decoy	False40
LP0026_42_L004	5.4363829603698255	0memhg19decoy	False40
LP0027_26_L003	5.578652208063527	0memhg19decoy	False40
LP0027_35_L003	4.021480625228679	0memhg19decoy	False40
LP0027_39_L003	3.692299849041218	0memhg19decoy	False40
LP0028_01_L004	6.879832104664747	0memhg19decoy	False40
LP0029_02_L004	4.186917363274175	0memhg19decoy	False40
LP0029_04_L003	6.936013366270642	0memhg19decoy	False40
LP0029_05_L004	4.604904681130771	0memhg19decoy	False40
LP0029_06_L003	6.2763397793719236	0memhg19decoy	False40
LP0030_03_L004	4.76735830141652	0memhg19decoy	False40
LP0030_05_L004	4.824943833809096	0memhg19decoy	False40
LP0020_01	0.7744901394698239	0memhg19decoy	FalseDI26830XA
LP0020_02	0.8802568023954872	0memhg19decoy	FalseDI26830XA
LP0020_03	1.3179728732515812	0memhg19decoy	FalseDI26830XA
LP0020_04	1.2581404080011775	0memhg19decoy	FalseDI26830XA
LP0020_05	0.6437142220796459	0memhg19decoy	FalseDI26830XA
LP0020_06	1.657719112418471	0memhg19decoy	FalseDI26830XA
LP0020_07	0.7501761089866742	0memhg19decoy	FalseDI26830XA
LP0020_08	0.828077074971511	0memhg19decoy	FalseDI26830XA
LP0025_01_L004	3.4945112072024735	0memhg19decoy	FalseDI26830XA
LP0025_02_L004	1.6533273773689072	0memhg19decoy	FalseDI26830XA
LP0025_03_L003	3.622559268918867	0memhg19decoy	FalseDI26830XA
LP0025_04_L004	1.448653045015974	0memhg19decoy	FalseDI26830XA
LP0025_05_L003	2.7650519809084635	0memhg19decoy	FalseDI26830XA
LP0025_06_L003	9.405633443729753	0memhg19decoy	FalseDI26830XA
LP0025_07_L004	5.62601212436937	0memhg19decoy	FalseDI26830XA
LP0025_08_L004	1.4719070164871857	0memhg19decoy	FalseDI26830XA
LP0025_10_L003	5.118012075499026	0memhg19decoy	FalseDI26830XA
LP0025_11_L003	11.45143066274621	0memhg19decoy	FalseDI26830XA
LP0025_12_L003	7.221566797608737	0memhg19decoy	FalseDI26830XA
LP0025_15_L003	8.511715005825613	0memhg19decoy	FalseDI26830XA
LP0025_17_L003	6.898986714908511	0memhg19decoy	FalseDI26830XA
