sampleID	Tumor.Fraction	ref_genome	settings
LP0020_08	0.01384	0memhg19decoy	True40
LP0025_01_L004	0	0memhg19decoy	True40
LP0025_02_L004	0.013	0memhg19decoy	True40
LP0025_03_L003	0.01452	0memhg19decoy	True40
LP0025_04_L004	0.01004	0memhg19decoy	True40
LP0025_05_L003	0.0145	0memhg19decoy	True40
LP0025_06_L003	0.01628	0memhg19decoy	True40
LP0025_07_L004	0.01201	0memhg19decoy	True40
LP0025_08_L004	0.01514	0memhg19decoy	True40
LP0025_10_L003	0.8344	0memhg19decoy	True40
LP0025_11_L003	0.02141	0memhg19decoy	True40
LP0025_12_L003	0.01294	0memhg19decoy	True40
LP0025_15_L003	0.0882	0memhg19decoy	True40
LP0025_17_L003	0.02677	0memhg19decoy	True40
LP0025_21_L004	0.1096	0memhg19decoy	True40
LP0025_24_L003	0.01412	0memhg19decoy	True40
LP0026_05_L003	0.02813	0memhg19decoy	True40
LP0026_07_L003	0.01014	0memhg19decoy	True40
LP0026_08_L003	0.2783	0memhg19decoy	True40
LP0026_22_L003	0.2202	0memhg19decoy	True40
LP0026_26_L004	0.448	0memhg19decoy	True40
LP0026_38_L004	0.1548	0memhg19decoy	True40
LP0026_42_L004	0.1583	0memhg19decoy	True40
LP0027_26_L003	0.1393	0memhg19decoy	True40
LP0027_35_L003	0.1595	0memhg19decoy	True40
LP0027_39_L003	0.1517	0memhg19decoy	True40
LP0028_01_L004	0.1062	0memhg19decoy	True40
LP0029_02_L004	0	0memhg19decoy	True40
LP0029_04_L003	0.01024	0memhg19decoy	True40
LP0029_05_L004	0.006797	0memhg19decoy	True40
LP0029_06_L003	0.01216	0memhg19decoy	True40
LP0030_03_L004	0.01391	0memhg19decoy	True40
LP0030_05_L004	0.0244	0memhg19decoy	True40
LP0020_01	0.01298	0memhg19decoy	TrueDI26830XA
LP0020_02	0.01612	0memhg19decoy	TrueDI26830XA
LP0020_03	0.009164	0memhg19decoy	TrueDI26830XA
LP0020_04	0	0memhg19decoy	TrueDI26830XA
LP0020_05	0.01527	0memhg19decoy	TrueDI26830XA
LP0020_06	0.01717	0memhg19decoy	TrueDI26830XA
LP0020_07	0.01958	0memhg19decoy	TrueDI26830XA
LP0020_08	0.01266	0memhg19decoy	TrueDI26830XA
LP0025_01_L004	0	0memhg19decoy	TrueDI26830XA
LP0025_02_L004	0.01429	0memhg19decoy	TrueDI26830XA
LP0025_03_L003	0.01342	0memhg19decoy	TrueDI26830XA
LP0025_04_L004	0	0memhg19decoy	TrueDI26830XA
LP0025_05_L003	0.01016	0memhg19decoy	TrueDI26830XA
LP0025_06_L003	0.01867	0memhg19decoy	TrueDI26830XA
LP0025_07_L004	0.01138	0memhg19decoy	TrueDI26830XA
LP0025_08_L004	0.02056	0memhg19decoy	TrueDI26830XA
LP0025_10_L003	0.8373	0memhg19decoy	TrueDI26830XA
LP0025_11_L003	0.02509	0memhg19decoy	TrueDI26830XA
LP0025_12_L003	0.01378	0memhg19decoy	TrueDI26830XA
LP0025_15_L003	0.0896	0memhg19decoy	TrueDI26830XA
LP0025_17_L003	0.02151	0memhg19decoy	TrueDI26830XA
LP0025_21_L004	0.1075	0memhg19decoy	TrueDI26830XA
LP0025_24_L003	0.01684	0memhg19decoy	TrueDI26830XA
LP0026_05_L003	0.02389	0memhg19decoy	TrueDI26830XA
LP0026_07_L003	0	0memhg19decoy	TrueDI26830XA
LP0026_08_L003	0.284	0memhg19decoy	TrueDI26830XA
LP0026_22_L003	0.2213	0memhg19decoy	TrueDI26830XA
LP0026_26_L004	0.4504	0memhg19decoy	TrueDI26830XA
LP0026_38_L004	0.1554	0memhg19decoy	TrueDI26830XA
LP0026_42_L004	0.1497	0memhg19decoy	TrueDI26830XA
LP0027_26_L003	0.1389	0memhg19decoy	TrueDI26830XA
LP0027_35_L003	0.1597	0memhg19decoy	TrueDI26830XA
LP0027_39_L003	0.1517	0memhg19decoy	TrueDI26830XA
LP0028_01_L004	0.1192	0memhg19decoy	TrueDI26830XA
LP0029_02_L004	0.008166	0memhg19decoy	TrueDI26830XA
LP0029_04_L003	0.01252	0memhg19decoy	TrueDI26830XA
LP0029_05_L004	0.007146	0memhg19decoy	TrueDI26830XA
LP0029_06_L003	0.01138	0memhg19decoy	TrueDI26830XA
LP0030_03_L004	0.01564	0memhg19decoy	TrueDI26830XA
LP0030_05_L004	0.01935	0memhg19decoy	TrueDI26830XA
LP0020_01	0.01102	0memhg38	False40
LP0020_02	0.01706	0memhg38	False40
LP0020_03	0.01082	0memhg38	False40
LP0020_04	0.01479	0memhg38	False40
LP0020_05	0.01745	0memhg38	False40
LP0020_06	0.01473	0memhg38	False40
LP0020_07	0.01839	0memhg38	False40
LP0020_08	0.01728	0memhg38	False40
LP0025_01_L004	0.008859	0memhg38	False40
LP0025_02_L004	0.01503	0memhg38	False40
LP0025_03_L003	0.01342	0memhg38	False40
LP0025_04_L004	0.01069	0memhg38	False40
LP0025_05_L003	0.01833	0memhg38	False40
LP0025_06_L003	0.01649	0memhg38	False40
LP0025_07_L004	0.01275	0memhg38	False40
LP0025_08_L004	0.01067	0memhg38	False40
LP0025_10_L003	0.8363	0memhg38	False40
LP0025_11_L003	0.02111	0memhg38	False40
LP0025_12_L003	0.01341	0memhg38	False40
LP0025_15_L003	0.08477	0memhg38	False40
LP0025_17_L003	0.03148	0memhg38	False40
LP0025_21_L004	0.1072	0memhg38	False40
LP0025_24_L003	0.01236	0memhg38	False40
LP0026_05_L003	0.02491	0memhg38	False40
LP0026_07_L003	0.01487	0memhg38	False40
LP0026_08_L003	0.2805	0memhg38	False40
LP0026_22_L003	0.2249	0memhg38	False40
LP0026_26_L004	0.4464	0memhg38	False40
LP0026_38_L004	0.1619	0memhg38	False40
LP0026_42_L004	0.1413	0memhg38	False40
LP0027_26_L003	0.1422	0memhg38	False40
LP0027_35_L003	0.1608	0memhg38	False40
LP0027_39_L003	0.1642	0memhg38	False40
LP0028_01_L004	0.1088	0memhg38	False40
LP0029_02_L004	0.009858	0memhg38	False40
LP0029_04_L003	0.01095	0memhg38	False40
LP0029_05_L004	0	0memhg38	False40
LP0029_06_L003	0.01107	0memhg38	False40
LP0030_03_L004	0.01114	0memhg38	False40
LP0030_05_L004	0.01869	0memhg38	False40
LP0020_01	0.01125	0memhg38	FalseDI26830XA
LP0020_02	0.01511	0memhg38	FalseDI26830XA
LP0020_03	0.01234	0memhg38	FalseDI26830XA
LP0020_04	0.01307	0memhg38	FalseDI26830XA
LP0020_05	0.0175	0memhg38	FalseDI26830XA
LP0020_06	0.01735	0memhg38	FalseDI26830XA
LP0020_07	0.02037	0memhg38	FalseDI26830XA
LP0020_08	0.01779	0memhg38	FalseDI26830XA
LP0025_01_L004	0.008873	0memhg38	FalseDI26830XA
LP0025_02_L004	0.01448	0memhg38	FalseDI26830XA
LP0025_03_L003	0.01459	0memhg38	FalseDI26830XA
LP0025_04_L004	0.009692	0memhg38	FalseDI26830XA
LP0025_05_L003	0.02077	0memhg38	FalseDI26830XA
LP0025_06_L003	0.01865	0memhg38	FalseDI26830XA
LP0025_07_L004	0.01199	0memhg38	FalseDI26830XA
LP0025_08_L004	0.01082	0memhg38	FalseDI26830XA
LP0025_10_L003	0.838	0memhg38	FalseDI26830XA
LP0025_11_L003	0.02116	0memhg38	FalseDI26830XA
LP0025_12_L003	0.01518	0memhg38	FalseDI26830XA
LP0025_15_L003	0.08866	0memhg38	FalseDI26830XA
LP0025_17_L003	0.02982	0memhg38	FalseDI26830XA
LP0025_21_L004	0.1077	0memhg38	FalseDI26830XA
LP0025_24_L003	0.01285	0memhg38	FalseDI26830XA
LP0026_05_L003	0.02323	0memhg38	FalseDI26830XA
LP0026_07_L003	0.01567	0memhg38	FalseDI26830XA
LP0026_08_L003	0.2826	0memhg38	FalseDI26830XA
LP0026_22_L003	0.2212	0memhg38	FalseDI26830XA
LP0026_26_L004	0.4473	0memhg38	FalseDI26830XA
LP0026_38_L004	0.1609	0memhg38	FalseDI26830XA
LP0026_42_L004	0.1412	0memhg38	FalseDI26830XA
LP0027_26_L003	0.1181	0memhg38	FalseDI26830XA
LP0027_35_L003	0.1593	0memhg38	FalseDI26830XA
LP0027_39_L003	0.1551	0memhg38	FalseDI26830XA
LP0028_01_L004	0.1108	0memhg38	FalseDI26830XA
LP0029_02_L004	0.008247	0memhg38	FalseDI26830XA
LP0029_04_L003	0.01101	0memhg38	FalseDI26830XA
LP0029_05_L004	0	0memhg38	FalseDI26830XA
LP0029_06_L003	0.009962	0memhg38	FalseDI26830XA
LP0030_03_L004	0.01129	0memhg38	FalseDI26830XA
