sampleID	tMAD_vs_control	ref_genome	settings
LP0030_03_L004	0.0119083499730833	0memhg19decoy	False40
LP0030_05_L004	0.00781845972558272	0memhg19decoy	False40
LP0025_05_L003	0.0103454305284119	0memhg19decoy	False40
LP0025_06_L003	0.0115087123650809	0memhg19decoy	False40
LP0025_10_L003	0.0406652964285119	0memhg19decoy	False40
LP0025_11_L003	0.00612895321924464	0memhg19decoy	False40
LP0025_12_L003	0.00965243645736787	0memhg19decoy	False40
LP0025_15_L003	0.0417299964837194	0memhg19decoy	False40
LP0025_17_L003	0.0124287856686565	0memhg19decoy	False40
LP0025_21_L004	0.0690573135608217	0memhg19decoy	False40
LP0025_24_L003	0.00533161130006481	0memhg19decoy	False40
LP0026_05_L003	0.0179400860790968	0memhg19decoy	False40
LP0026_07_L003	0.00643372266303393	0memhg19decoy	False40
LP0026_08_L003	0.171484895123248	0memhg19decoy	False40
LP0026_22_L003	0.0215221378675235	0memhg19decoy	False40
LP0026_26_L004	0.0898635187124171	0memhg19decoy	False40
LP0026_38_L004	0.0770640530725367	0memhg19decoy	False40
LP0026_42_L004	0.123979306221096	0memhg19decoy	False40
LP0027_26_L003	0.069496875	0memhg19decoy	False40
LP0027_35_L003	0.047503317228004	0memhg19decoy	False40
LP0027_39_L003	0.027856973278743	0memhg19decoy	False40
LP0028_01_L004	0.057141875	0memhg19decoy	False40
LP0020_01	0.00713454807284715	0memhg19decoy	FalseDI26830XA
LP0020_02	0.013899375	0memhg19decoy	FalseDI26830XA
LP0020_03	0.0106291503424686	0memhg19decoy	FalseDI26830XA
LP0020_04	0.0127247259186679	0memhg19decoy	FalseDI26830XA
LP0020_05	0.01103557656431	0memhg19decoy	FalseDI26830XA
LP0020_06	0.00923903371551971	0memhg19decoy	FalseDI26830XA
LP0020_07	0.0119145045436137	0memhg19decoy	FalseDI26830XA
LP0020_08	0.00924029214431442	0memhg19decoy	FalseDI26830XA
LP0025_01_L004	0.00473585025602372	0memhg19decoy	FalseDI26830XA
LP0025_02_L004	0.0120182543901435	0memhg19decoy	FalseDI26830XA
LP0025_03_L003	0.00951615126956051	0memhg19decoy	FalseDI26830XA
LP0025_04_L004	0.0119151895019891	0memhg19decoy	FalseDI26830XA
LP0025_07_L004	0.0113463941319667	0memhg19decoy	FalseDI26830XA
LP0025_08_L004	0.00783280635159407	0memhg19decoy	FalseDI26830XA
LP0029_02_L004	0.00921520152152465	0memhg19decoy	FalseDI26830XA
LP0029_04_L003	0.0106113762516865	0memhg19decoy	FalseDI26830XA
LP0029_05_L004	0.00995023197397896	0memhg19decoy	FalseDI26830XA
LP0029_06_L003	0.00894662838242798	0memhg19decoy	FalseDI26830XA
LP0030_03_L004	0.00911827760265338	0memhg19decoy	FalseDI26830XA
LP0030_05_L004	0.00860570100202911	0memhg19decoy	FalseDI26830XA
LP0025_05_L003	0.0120097133399589	0memhg19decoy	FalseDI26830XA
LP0025_06_L003	0.0156473032394824	0memhg19decoy	FalseDI26830XA
LP0025_10_L003	0.0338941927916601	0memhg19decoy	FalseDI26830XA
LP0025_11_L003	0.0078307528178803	0memhg19decoy	FalseDI26830XA
LP0025_12_L003	0.0138210856624547	0memhg19decoy	FalseDI26830XA
LP0025_15_L003	0.0431382749745655	0memhg19decoy	FalseDI26830XA
LP0025_17_L003	0.0152179491482249	0memhg19decoy	FalseDI26830XA
LP0025_21_L004	0.0660393262292224	0memhg19decoy	FalseDI26830XA
LP0025_24_L003	0.00533183947035588	0memhg19decoy	FalseDI26830XA
LP0026_05_L003	0.020076875	0memhg19decoy	FalseDI26830XA
LP0026_07_L003	0.00882438529795302	0memhg19decoy	FalseDI26830XA
LP0026_08_L003	0.172250279404492	0memhg19decoy	FalseDI26830XA
LP0026_22_L003	0.0235634261432449	0memhg19decoy	FalseDI26830XA
LP0026_26_L004	0.101441170980742	0memhg19decoy	FalseDI26830XA
LP0026_38_L004	0.071219407981866	0memhg19decoy	FalseDI26830XA
LP0026_42_L004	0.119227290851161	0memhg19decoy	FalseDI26830XA
LP0027_26_L003	0.0701983967077059	0memhg19decoy	FalseDI26830XA
LP0027_35_L003	0.0550256926822865	0memhg19decoy	FalseDI26830XA
LP0027_39_L003	0.031648224197514	0memhg19decoy	FalseDI26830XA
LP0028_01_L004	0.0428813763001088	0memhg19decoy	FalseDI26830XA
LP0020_01	0.00772187500000001	0memhg19decoy	True40
LP0020_02	0.0118054855108177	0memhg19decoy	True40
LP0020_03	0.016988125	0memhg19decoy	True40
LP0020_04	0.0174998908336584	0memhg19decoy	True40
LP0020_05	0.0134264100385363	0memhg19decoy	True40
LP0020_06	0.0130021243395205	0memhg19decoy	True40
LP0020_07	0.0117268753155518	0memhg19decoy	True40
LP0020_08	0.0126072912005481	0memhg19decoy	True40
LP0025_01_L004	0.0068203909082611	0memhg19decoy	True40
LP0025_02_L004	0.0120302353083744	0memhg19decoy	True40
LP0025_03_L003	0.0141847122008058	0memhg19decoy	True40
LP0025_04_L004	0.00782972655388854	0memhg19decoy	True40
LP0025_07_L004	0.00895005990222548	0memhg19decoy	True40
LP0025_08_L004	0.00981801844834812	0memhg19decoy	True40
LP0029_02_L004	0.00882506980897156	0memhg19decoy	True40
LP0029_04_L003	0.00911827760265338	0memhg19decoy	True40
LP0029_05_L004	0.012035378382428	0memhg19decoy	True40
LP0029_06_L003	0.0112131665797668	0memhg19decoy	True40
LP0030_03_L004	0.0104968032682635	0memhg19decoy	True40
LP0030_05_L004	0.00672585035860868	0memhg19decoy	True40
LP0025_05_L003	0.00812441657976676	0memhg19decoy	True40
LP0025_06_L003	0.012399181462223	0memhg19decoy	True40
LP0025_10_L003	0.0435417009542184	0memhg19decoy	True40
LP0025_11_L003	0.00961228484664208	0memhg19decoy	True40
LP0025_12_L003	0.0127411864573679	0memhg19decoy	True40
LP0025_15_L003	0.0297930825227124	0memhg19decoy	True40
LP0025_17_L003	0.00993649016856779	0memhg19decoy	True40
