sampleID	dip_depth	ref_genome	settings
LP0025_04_L004	0.82	0memhg38	TrueDI26830XA
LP0026_07_L003	-0.11	0memhg38	TrueDI26830XA
LP0029_05_L004	-0.89	0memhg38	TrueDI26830XA
LP0020_01	-0.41	0memhg38	TrueDI26830XA
LP0025_08_L004	-0.07	0memhg38	TrueDI26830XA
LP0020_04.sortByCoord	-0.11	0memhg38	TrueDI26830XA
LP0028_01_L004	-0.4	0memhg38	TrueDI26830XA
LP0025_11_L003	0.96	0memhg38noalt	False40
LP0025_06_L003	-0.14	0memhg38noalt	False40
LP0030_05_L004	0.04	0memhg38noalt	False40
LP0030_03_L004	-0.81	0memhg38noalt	False40
LP0020_03	-0.03	0memhg38noalt	False40
LP0020_06	2.26	0memhg38noalt	False40
LP0025_07_L004	0.76	0memhg38noalt	False40
LP0025_12_L003	-1.16	0memhg38noalt	False40
LP0025_17_L003	-1.75	0memhg38noalt	False40
LP0026_22_L003	0.23	0memhg38noalt	False40
LP0025_05_L003	-0.21	0memhg38noalt	False40
LP0027_39_L003	-0.22	0memhg38noalt	False40
LP0025_03_L003	0.56	0memhg38noalt	False40
LP0020_07	0.22	0memhg38noalt	False40
LP0026_05_L003	0.53	0memhg38noalt	False40
LP0025_01_L004	0.56	0memhg38noalt	False40
LP0025_21_L004	0.28	0memhg38noalt	False40
LP0027_26_L003	0.34	0memhg38noalt	False40
LP0020_08	-0.38	0memhg38noalt	False40
LP0027_35_L003	0.69	0memhg38noalt	False40
LP0026_42_L004	1.21	0memhg38noalt	False40
LP0026_38_L004	1.67	0memhg38noalt	False40
LP0025_02_L004	-0.09	0memhg38noalt	False40
LP0026_08_L003	0.16	0memhg38noalt	False40
LP0025_10_L003	-0.33	0memhg38noalt	False40
LP0029_02_L004	-1.22	0memhg38noalt	False40
LP0020_02	0.97	0memhg38noalt	False40
LP0029_04_L003	-2.0	0memhg38noalt	False40
LP0020_05	0.82	0memhg38noalt	False40
LP0026_26_L004	0.19	0memhg38noalt	False40
